id,results
0,1
1,0
2,1
3,0
4,0
5,3
6,5
7,3
8,8
9,9
10,1
11,3
12,1
13,2
14,0
15,8
16,6
17,2
18,9
19,9
20,7
21,1
22,1
23,4
24,9
25,1
26,6
27,3
28,5
29,1
30,2
31,1
32,4
33,1
34,0
35,3
36,2
37,6
38,4
39,7
40,1
41,4
42,1
43,5
44,4
45,9
46,2
47,9
48,8
49,4
50,1
51,9
52,2
53,7
54,2
55,8
56,0
57,0
58,0
59,9
60,7
61,1
62,5
63,7
64,1
65,3
66,5
67,4
68,7
69,7
70,8
71,7
72,3
73,0
74,3
75,4
76,0
77,3
78,5
79,1
80,0
81,3
82,7
83,9
84,4
85,6
86,5
87,2
88,8
89,7
90,7
91,8
92,5
93,0
94,6
95,4
96,7
97,0
98,0
99,6
100,7
101,8
102,4
103,1
104,8
105,8
106,1
107,7
108,6
109,3
110,6
111,3
112,2
113,7
114,9
115,2
116,2
117,2
118,7
119,5
120,8
121,2
122,1
123,4
124,0
125,3
126,1
127,1
128,4
129,7
130,2
131,9
132,2
133,0
134,5
135,6
136,9
137,6
138,2
139,7
140,2
141,2
142,1
143,6
144,9
145,0
146,0
147,2
148,6
149,0
150,7
151,2
152,1
153,4
154,8
155,5
156,7
157,9
158,7
159,4
160,9
161,3
162,7
163,6
164,3
165,3
166,0
167,9
168,0
169,4
170,5
171,3
172,3
173,7
174,2
175,1
176,0
177,5
178,6
179,5
180,2
181,5
182,4
183,6
184,9
185,2
186,6
187,3
188,4
189,2
190,0
191,5
192,2
193,1
194,9
195,0
196,0
197,4
198,3
199,1
200,5
201,4
202,9
203,7
204,1
205,5
206,3
207,7
208,3
209,4
210,1
211,0
212,5
213,6
214,7
215,2
216,8
217,0
218,5
219,4
220,8
221,3
222,4
223,1
224,1
225,4
226,9
227,4
228,3
229,2
230,0
231,0
232,9
233,9
234,8
235,6
236,5
237,8
238,9
239,5
240,3
241,2
242,8
243,2
244,1
245,3
246,6
247,0
248,2
249,2
250,1
251,0
252,4
253,3
254,1
255,1
256,0
257,8
258,2
259,0
260,7
261,3
262,8
263,2
264,4
265,8
266,5
267,9
268,7
269,5
270,5
271,1
272,5
273,6
274,5
275,8
276,2
277,0
278,1
279,0
280,1
281,9
282,4
283,8
284,0
285,9
286,3
287,9
288,4
289,3
290,5
291,4
292,2
293,5
294,6
295,1
296,0
297,7
298,5
299,1
300,6
301,9
302,7
303,1
304,6
305,3
306,2
307,0
308,5
309,6
310,3
311,8
312,9
313,3
314,9
315,2
316,3
317,7
318,2
319,6
320,0
321,1
322,9
323,1
324,6
325,0
326,2
327,8
328,0
329,8
330,9
331,1
332,2
333,7
334,4
335,8
336,1
337,5
338,8
339,7
340,0
341,9
342,5
343,6
344,5
345,7
346,0
347,0
348,9
349,8
350,2
351,1
352,6
353,5
354,1
355,1
356,4
357,7
358,4
359,7
360,5
361,1
362,6
363,4
364,5
365,7
366,4
367,1
368,8
369,3
370,5
371,7
372,1
373,8
374,3
375,1
376,2
377,9
378,0
379,2
380,3
381,0
382,3
383,2
384,0
385,0
386,5
387,6
388,5
389,4
390,5
391,6
392,0
393,2
394,7
395,1
396,0
397,5
398,9
399,3
400,6
401,0
402,3
403,4
404,1
405,5
406,0
407,2
408,6
409,6
410,7
411,8
412,6
413,8
414,3
415,6
416,7
417,4
418,3
419,7
420,2
421,8
422,2
423,0
424,4
425,8
426,1
427,4
428,0
429,1
430,2
431,3
432,6
433,2
434,6
435,1
436,9
437,4
438,5
439,2
440,7
441,7
442,9
443,5
444,6
445,0
446,1
447,8
448,2
449,6
450,1
451,8
452,7
453,7
454,6
455,6
456,8
457,2
458,0
459,7
460,7
461,0
462,4
463,7
464,9
465,8
466,6
467,0
468,6
469,7
470,7
471,9
472,3
473,8
474,4
475,6
476,6
477,2
478,2
479,8
480,0
481,7
482,9
483,1
484,0
485,4
486,9
487,6
488,3
489,0
490,7
491,8
492,7
493,8
494,0
495,1
496,0
497,6
498,2
499,2
500,9
501,0
502,8
503,3
504,2
505,2
506,5
507,9
508,6
509,4
510,5
511,7
512,4
513,7
514,4
515,7
516,2
517,2
518,6
519,8
520,0
521,9
522,6
523,8
524,2
525,3
526,1
527,3
528,1
529,0
530,0
531,8
532,5
533,7
534,6
535,2
536,8
537,4
538,2
539,3
540,2
541,4
542,4
543,4
544,5
545,2
546,2
547,2
548,9
549,5
550,6
551,6
552,9
553,1
554,2
555,0
556,5
557,7
558,4
559,7
560,9
561,3
562,7
563,9
564,9
565,5
566,7
567,6
568,3
569,1
570,3
571,7
572,3
573,7
574,5
575,8
576,0
577,9
578,2
579,6
580,9
581,1
582,2
583,7
584,5
585,8
586,6
587,0
588,0
589,4
590,1
591,8
592,3
593,2
594,7
595,4
596,9
597,1
598,4
599,9
600,8
601,8
602,0
603,1
604,6
605,9
606,2
607,5
608,6
609,6
610,6
611,9
612,8
613,2
614,0
615,7
616,2
617,3
618,1
619,4
620,2
621,6
622,6
623,5
624,3
625,1
626,7
627,6
628,4
629,4
630,9
631,5
632,4
633,6
634,2
635,9
636,0
637,9
638,3
639,5
640,6
641,5
642,3
643,6
644,1
645,9
646,5
647,9
648,6
649,8
650,2
651,5
652,4
653,1
654,4
655,9
656,3
657,1
658,0
659,4
660,6
661,4
662,5
663,2
664,6
665,6
666,8
667,5
668,2
669,3
670,9
671,2
672,7
673,8
674,2
675,3
676,4
677,1
678,7
679,8
680,8
681,5
682,0
683,6
684,6
685,9
686,4
687,2
688,1
689,9
690,2
691,6
692,1
693,2
694,1
695,5
696,4
697,4
698,0
699,1
700,6
701,5
702,7
703,8
704,1
705,6
706,2
707,2
708,0
709,8
710,0
711,2
712,1
713,1
714,4
715,1
716,3
717,5
718,1
719,1
720,4
721,4
722,7
723,1
724,0
725,2
726,7
727,9
728,2
729,1
730,5
731,4
732,4
733,1
734,7
735,4
736,2
737,0
738,1
739,7
740,7
741,0
742,0
743,6
744,5
745,5
746,1
747,0
748,1
749,0
750,3
751,4
752,0
753,2
754,2
755,1
756,9
757,9
758,1
759,4
760,5
761,5
762,9
763,4
764,7
765,6
766,1
767,5
768,1
769,4
770,9
771,0
772,6
773,5
774,8
775,2
776,5
777,4
778,2
779,1
780,0
781,2
782,2
783,1
784,9
785,2
786,8
787,8
788,0
789,1
790,1
791,8
792,9
793,7
794,6
795,5
796,4
797,3
798,9
799,9
800,7
801,4
802,5
803,4
804,5
805,5
806,6
807,9
808,2
809,0
810,9
811,5
812,5
813,8
814,9
815,9
816,8
817,4
818,0
819,5
820,1
821,5
822,9
823,9
824,2
825,4
826,6
827,9
828,3
829,7
830,1
831,1
832,4
833,8
834,0
835,1
836,2
837,6
838,0
839,4
840,0
841,5
842,2
843,9
844,7
845,2
846,6
847,8
848,5
849,7
850,9
851,8
852,6
853,2
854,5
855,6
856,9
857,9
858,3
859,7
860,4
861,6
862,3
863,1
864,7
865,9
866,3
867,7
868,6
869,6
870,8
871,0
872,2
873,9
874,0
875,1
876,8
877,5
878,9
879,2
880,1
881,9
882,0
883,8
884,7
885,1
886,8
887,5
888,7
889,0
890,5
891,7
892,8
893,2
894,9
895,2
896,4
897,5
898,0
899,2
900,6
901,1
902,6
903,5
904,4
905,1
906,5
907,7
908,9
909,6
910,6
911,2
912,2
913,6
914,9
915,8
916,4
917,2
918,1
919,4
920,4
921,4
922,5
923,5
924,4
925,5
926,4
927,8
928,1
929,2
930,0
931,9
932,7
933,1
934,8
935,6
936,3
937,6
938,1
939,9
940,4
941,9
942,2
943,2
944,1
945,2
946,9
947,5
948,2
949,8
950,1
951,3
952,9
953,7
954,6
955,0
956,2
957,0
958,2
959,6
960,6
961,0
962,7
963,3
964,4
965,6
966,8
967,7
968,1
969,6
970,9
971,3
972,8
973,2
974,1
975,1
976,7
977,6
978,6
979,0
980,4
981,4
982,2
983,1
984,1
985,1
986,4
987,6
988,7
989,1
990,1
991,6
992,5
993,7
994,4
995,0
996,1
997,1
998,5
999,4
1000,3
1001,6
1002,9
1003,4
1004,9
1005,2
1006,1
1007,3
1008,0
1009,0
1010,8
1011,1
1012,1
1013,8
1014,7
1015,6
1016,9
1017,0
1018,4
1019,6
1020,1
1021,3
1022,7
1023,0
1024,0
1025,0
1026,7
1027,4
1028,8
1029,8
1030,0
1031,8
1032,6
1033,5
1034,6
1035,1
1036,7
1037,0
1038,1
1039,5
1040,4
1041,1
1042,3
1043,4
1044,9
1045,7
1046,6
1047,1
1048,9
1049,0
1050,1
1051,1
1052,9
1053,8
1054,1
1055,6
1056,0
1057,2
1058,4
1059,4
1060,5
1061,7
1062,0
1063,4
1064,7
1065,8
1066,7
1067,2
1068,0
1069,9
1070,4
1071,8
1072,5
1073,2
1074,0
1075,8
1076,6
1077,5
1078,8
1079,4
1080,6
1081,4
1082,1
1083,9
1084,4
1085,1
1086,4
1087,5
1088,9
1089,7
1090,3
1091,7
1092,9
1093,5
1094,9
1095,4
1096,8
1097,0
1098,8
1099,4
1100,6
1101,9
1102,5
1103,2
1104,1
1105,5
1106,3
1107,1
1108,8
1109,5
1110,4
1111,1
1112,6
1113,2
1114,0
1115,1
1116,1
1117,2
1118,8
1119,2
1120,1
1121,8
1122,1
1123,4
1124,5
1125,9
1126,7
1127,0
1128,9
1129,2
1130,0
1131,7
1132,6
1133,8
1134,5
1135,3
1136,5
1137,4
1138,4
1139,9
1140,0
1141,2
1142,7
1143,5
1144,7
1145,6
1146,3
1147,3
1148,4
1149,1
1150,3
1151,3
1152,7
1153,9
1154,3
1155,1
1156,2
1157,2
1158,6
1159,2
1160,4
1161,1
1162,2
1163,9
1164,5
1165,5
1166,1
1167,5
1168,2
1169,9
1170,0
1171,9
1172,2
1173,2
1174,2
1175,9
1176,3
1177,3
1178,6
1179,6
1180,1
1181,4
1182,1
1183,3
1184,3
1185,9
1186,4
1187,1
1188,0
1189,0
1190,6
1191,0
1192,5
1193,7
1194,5
1195,4
1196,5
1197,4
1198,5
1199,5
1200,0
1201,3
1202,7
1203,9
1204,6
1205,3
1206,7
1207,2
1208,2
1209,1
1210,9
1211,5
1212,7
1213,3
1214,4
1215,3
1216,5
1217,4
1218,0
1219,8
1220,3
1221,2
1222,8
1223,9
1224,4
1225,5
1226,4
1227,0
1228,5
1229,1
1230,4
